7.126703949999999566e-01,8.246630390000000261e+02,8.993053860414395029e-01,1.041366582185154114e+11,3.302151769993512517e+03
6.924743249999999462e-01,8.188223869999999351e+02,8.929360817884405277e-01,1.011855727606338501e+11,3.208573463997775434e+03
6.441345400000000332e-01,8.153319940000000088e+02,8.891297644492911489e-01,9.412207790492076111e+10,2.984591511444722528e+03
5.939900259999999488e-01,8.124285999999999603e+02,8.859635768811341405e-01,8.679487285671391296e+10,2.752247363543693154e+03
5.318948079999999967e-01,8.019303279999999177e+02,8.745150796074153687e-01,7.772140980950791931e+10,2.464529737744416707e+03
4.931212750000000256e-01,7.890840540000000374e+02,8.605060567066521449e-01,7.205575261050875854e+10,2.284872926512834511e+03
4.297716440000000082e-01,7.774230690000000550e+02,8.477896063249727998e-01,6.279899251776480103e+10,1.991342989528310454e+03
4.032561669999999987e-01,7.733456749999999147e+02,8.433431570338058014e-01,5.892450413544620514e+10,1.868483768881475044e+03
3.642486609999999736e-01,7.622604019999999991e+02,8.312545278080697431e-01,5.322465838798997498e+10,1.687742845890093122e+03
3.290828259999999950e-01,7.517598720000000867e+02,8.198035681570339239e-01,4.808616439966638947e+10,1.524802270410527171e+03
2.926808029999999894e-01,7.471112819999999601e+02,8.147342224645582887e-01,4.276703643502919006e+10,1.356133829116856532e+03
2.666745260000000228e-01,7.354390079999999443e+02,8.020054612868047217e-01,3.896695325704754639e+10,1.235633982022055534e+03
