1.771115930000000116e-01,7.360714289999999664e+02,8.026951243184295981e-01,3.626477075159235477e+09,1.149948336871903791e+02
1.869142420000000082e-01,7.397142860000000155e+02,8.066677055616139347e-01,3.827192800607725143e+09,1.213594875890323692e+02
1.972248749999999939e-01,7.494285710000000336e+02,8.172612551799346425e-01,4.038309834628644943e+09,1.280539648220650975e+02
2.101565820000000084e-01,7.591428569999999354e+02,8.278548058887676975e-01,4.303095093367614746e+09,1.364502502970451303e+02
2.239362000000000019e-01,7.688571429999999509e+02,8.384483565976008634e-01,4.585241890960088730e+09,1.453970665575878058e+02
2.374346850000000064e-01,7.810000000000000000e+02,8.516902944383860641e-01,4.861632304330040932e+09,1.541613490718557102e+02
2.592777680000000196e-01,7.919285710000000336e+02,8.636080381679389628e-01,5.308883884017997742e+09,1.683436036281709107e+02
2.790321619999999725e-01,7.980000000000000000e+02,8.702290076335877922e-01,5.713368174183368683e+09,1.811697163300154898e+02
2.901219190000000059e-01,8.077142859999999018e+02,8.808225583424208471e-01,5.940438287711096764e+09,1.883700623957095672e+02
3.031999690000000136e-01,8.101428570000000491e+02,8.834709454743729928e-01,6.208220016221586227e+09,1.968613653038301265e+02
3.168342339999999924e-01,8.162142860000000155e+02,8.900919149400218222e-01,6.487390614947699547e+09,2.057138069174181965e+02
3.343232789999999732e-01,8.247142860000000155e+02,8.993612715376226863e-01,6.845490385180856705e+09,2.170690761409454694e+02
